bundesland,diesel,e5,e10,date
Baden-Württemberg,1.2758605724464596,1.356039107728432,1.3115989636047125,2019-01-24 00:00:00
Bayern,1.2841255212820957,1.333848044115113,1.2741977942443563,2019-01-24 00:00:00
Berlin,1.2321696813092162,1.3273897502153316,1.2952622739018087,2019-01-24 00:00:00
Brandenburg,1.2259890855457227,1.2985290560471976,1.2530523598820058,2019-01-24 00:00:00
Bremen,1.2404877717391305,1.3172540760869564,1.2950258152173912,2019-01-24 00:00:00
Hamburg,1.220006711409396,1.3263800646283868,1.289750932140194,2019-01-24 00:00:00
Hessen,1.2491217944718287,1.3478365258626068,1.2985893804205402,2019-01-24 00:00:00
Mecklenburg-Vorpommern,1.220631045406547,1.275303273495248,1.2216445617740233,2019-01-24 00:00:00
Niedersachsen,1.2281355420474216,1.303219475866511,1.2229501227808866,2019-01-24 00:00:00
Nordrhein-Westfalen,1.2352968121324668,1.3365369191316268,1.2922125392403945,2019-01-24 00:00:00
Rheinland-Pfalz,1.2495232545474348,1.344104128090622,1.2986280361616382,2019-01-24 00:00:00
Saarland,1.2578258778258775,1.348667628667629,1.3193645983645983,2019-01-24 00:00:00
Sachsen,1.2136166881379449,1.3322250520265584,1.274857397681102,2019-01-24 00:00:00
Sachsen-Anhalt,1.2141109702858752,1.2963903675538655,1.224940994226165,2019-01-24 00:00:00
Schleswig-Holstein,1.222875361719719,1.3130991112029764,1.2390815419594874,2019-01-24 00:00:00
Thüringen,1.2339479452054791,1.3395785656728445,1.260795970991136,2019-01-24 00:00:00
bundesweit,1.244697293837553,1.3299986083701447,1.2751876421329271,2019-01-24 00:00:00
Baden-Württemberg,1.2758360958366064,1.3576853888452474,1.3122327179890023,2019-01-25 00:00:00
Bayern,1.2822471539742413,1.3295838515648892,1.2707137322866755,2019-01-25 00:00:00
Berlin,1.2254266174554929,1.3258827616152844,1.293030395136778,2019-01-25 00:00:00
Brandenburg,1.229627252952144,1.3031496270975762,1.2583178993163455,2019-01-25 00:00:00
Bremen,1.245683147632312,1.337283426183844,1.3148878830083564,2019-01-25 00:00:00
Hamburg,1.225882180069463,1.3302241517499331,1.2940569062249532,2019-01-25 00:00:00
Hessen,1.2451116145227454,1.3495750321435132,1.2993328843445786,2019-01-25 00:00:00
Mecklenburg-Vorpommern,1.2227487642381258,1.2790552331828926,1.223074790457769,2019-01-25 00:00:00
Niedersachsen,1.232076228803626,1.306781862936626,1.2254696022505274,2019-01-25 00:00:00
Nordrhein-Westfalen,1.233711235772735,1.333289482834558,1.2878379192841745,2019-01-25 00:00:00
Rheinland-Pfalz,1.2445516192132144,1.3406826776787657,1.295722125624864,2019-01-25 00:00:00
Saarland,1.258063273727648,1.349745988078863,1.3206258596973866,2019-01-25 00:00:00
Sachsen,1.2151274235458724,1.3305394763142115,1.27398161103338,2019-01-25 00:00:00
Sachsen-Anhalt,1.2179172651107122,1.2990662776780368,1.2273472471573907,2019-01-25 00:00:00
Schleswig-Holstein,1.2277542953396967,1.312957888826502,1.2323718135878718,2019-01-25 00:00:00
Thüringen,1.2306938411669368,1.3320905996758508,1.2526627228525122,2019-01-25 00:00:00
bundesweit,1.2449902783893536,1.329712603356329,1.2740560643867116,2019-01-25 00:00:00
Baden-Württemberg,1.2713950330986212,1.3540511447484926,1.310559345617068,2019-01-26 00:00:00
Bayern,1.2803677205855903,1.328287543613539,1.271759756843279,2019-01-26 00:00:00
Berlin,1.225558084603822,1.3249954906592227,1.2916658793214515,2019-01-26 00:00:00
Brandenburg,1.2273756014279065,1.3038089399348127,1.2611336334005898,2019-01-26 00:00:00
Bremen,1.2124256329113925,1.3099572784810125,1.2876471518987342,2019-01-26 00:00:00
Hamburg,1.2150134902411025,1.3267898966704936,1.2905852468427097,2019-01-26 00:00:00
Hessen,1.243808573342264,1.344528533154722,1.2963986604152713,2019-01-26 00:00:00
Mecklenburg-Vorpommern,1.2193642062689587,1.283494236602629,1.2334129423660265,2019-01-26 00:00:00
Niedersachsen,1.226735904033906,1.3019487625823054,1.223033792477106,2019-01-26 00:00:00
Nordrhein-Westfalen,1.2331379017556128,1.3295110506205827,1.285660614839048,2019-01-26 00:00:00
Rheinland-Pfalz,1.2459146056929538,1.3380050163322443,1.2926306579561362,2019-01-26 00:00:00
Saarland,1.2571203522504892,1.347834637964775,1.3209926614481409,2019-01-26 00:00:00
Sachsen,1.209473284100782,1.3294125760208515,1.2741000217202434,2019-01-26 00:00:00
Sachsen-Anhalt,1.2212641509433964,1.3104364779874214,1.2393333333333334,2019-01-26 00:00:00
Schleswig-Holstein,1.2115616700427638,1.3051883862255234,1.2316808462750397,2019-01-26 00:00:00
Thüringen,1.2317664853840924,1.3332182188987085,1.2531546566961251,2019-01-26 00:00:00
bundesweit,1.2415566544134609,1.3263836740134631,1.2723577987295631,2019-01-26 00:00:00
Baden-Württemberg,1.2740468251799215,1.356395873189396,1.3116563268652637,2019-01-27 00:00:00
Bayern,1.282658594118572,1.3308962494102845,1.2750528384966189,2019-01-27 00:00:00
Berlin,1.229724187040114,1.3306356515547115,1.2968146214099217,2019-01-27 00:00:00
Brandenburg,1.2338040014164309,1.3110437322946176,1.2671365084985835,2019-01-27 00:00:00
Bremen,1.211147406733394,1.3102465878070977,1.287680618744313,2019-01-27 00:00:00
Hamburg,1.2139470532618974,1.3155836747557517,1.2814279861329971,2019-01-27 00:00:00
Hessen,1.245125537857628,1.3440506529780327,1.2967902921416168,2019-01-27 00:00:00
Mecklenburg-Vorpommern,1.2151922230374177,1.2872274394717536,1.237271215456102,2019-01-27 00:00:00
Niedersachsen,1.225558068648673,1.2953168264345982,1.220121129124884,2019-01-27 00:00:00
Nordrhein-Westfalen,1.2362693652782129,1.3321291366530954,1.2899145787660506,2019-01-27 00:00:00
Rheinland-Pfalz,1.2478183710642727,1.3429963570127506,1.297671350507416,2019-01-27 00:00:00
Saarland,1.2568190243902435,1.35038,1.3254931707317072,2019-01-27 00:00:00
Sachsen,1.2171874354205414,1.33466759661087,1.280535027898326,2019-01-27 00:00:00
