bundesland,diesel,e5,e10,date
Baden-Württemberg,1.5556105271313825,1.676073245693329,1.5873707998656992,2021-12-30 00:00:00
Bayern,1.5575034916842785,1.6505986171092528,1.529926950289442,2021-12-30 00:00:00
Berlin,1.539480276816609,1.6944103806228374,1.6275814532871973,2021-12-30 00:00:00
Brandenburg,1.544768526058632,1.657560769543974,1.571959283387622,2021-12-30 00:00:00
Bremen,1.5653111318118305,1.7322836516068931,1.658603632976246,2021-12-30 00:00:00
Hamburg,1.538812935323383,1.6953701492537314,1.6164007960199005,2021-12-30 00:00:00
Hessen,1.5499331800125444,1.6884346226217857,1.5916294794062305,2021-12-30 00:00:00
Mecklenburg-Vorpommern,1.5346116435924744,1.6141374985208852,1.5165665601703942,2021-12-30 00:00:00
Niedersachsen,1.5451796484092792,1.6684256281272578,1.5163284456693336,2021-12-30 00:00:00
Nordrhein-Westfalen,1.547797520838397,1.6700634373704302,1.583780764336674,2021-12-30 00:00:00
Rheinland-Pfalz,1.545067214038477,1.679117926426789,1.598451903726958,2021-12-30 00:00:00
Saarland,1.55684640140433,1.694312170860152,1.596003803393797,2021-12-30 00:00:00
Sachsen,1.535568659942363,1.664232060518732,1.5667780259365995,2021-12-30 00:00:00
Sachsen-Anhalt,1.5324850269514874,1.649440507087243,1.5152521461369537,2021-12-30 00:00:00
Schleswig-Holstein,1.5498101883213655,1.6629964774420811,1.5150281127218534,2021-12-30 00:00:00
Thüringen,1.541605499621089,1.6782338421565444,1.5363863808595866,2021-12-30 00:00:00
bundesweit,1.5481668362844685,1.6683074408538427,1.5617447166201828,2021-12-30 00:00:00
Baden-Württemberg,1.5655176971617024,1.6895603105767485,1.6019835622841414,2021-12-31 00:00:00
Bayern,1.564731060429032,1.65928831144553,1.537617095854559,2021-12-31 00:00:00
Berlin,1.549380057803468,1.7107456647398844,1.6419648843930637,2021-12-31 00:00:00
Brandenburg,1.5542259838274932,1.6762670619946092,1.5913335849056605,2021-12-31 00:00:00
Bremen,1.5777489609310058,1.75209642560266,1.673313383208645,2021-12-31 00:00:00
Hamburg,1.5477245994727236,1.7078685864936118,1.6266019063070372,2021-12-31 00:00:00
Hessen,1.5603066606513,1.7022166352227055,1.6068251579033712,2021-12-31 00:00:00
